Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
202,OR-Estacada625,462.625,+,5,TSQL,67,67,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8907: Estacada,,,,
203,OR-FG (Fern Hill),462.575,+,5,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/6530: Forest Grove,,,,
204,OR-FM675 Ferguson Mtn,462.675,+,5,TSQL,127.3,127.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/6165: Beatty,,,,
205,OR-Fat Elk,462.725,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10902: Coquille,,,,
206,OR-Fern Ridge (Veneta) 675,462.675,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5829: Veneta,,,,
207,OR-Gervais 550,462.55,+,5,TSQL,250.3,250.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8214: Gervais,,,,
208,OR-Goat Mountain,462.7,+,5,TSQL,107.2,107.2,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10073: Colton,,,,
209,OR-Gresham PDX,462.7,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/4241: Gresham,,,,
210,OR-Hopewell 650,462.65,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5259: Hopewell,,,,
211,OR-Huy600,462.6,+,5,TSQL,118.8,118.8,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5908: Beaverton,,,,
212,OR-Hwy 26 near CJ's Food Mart,462.725,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/10526: Government Camp,,,,
213,OR-IM650 Dead Indian Mtn.,462.65,+,5,DTCS,88.5,88.5,606,NN,606,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10953: Summer Lake,,,,
214,OR-IV550 - OREGON GMRS,462.55,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/1753: Selma - Josephine County,,,,
215,OR-IVARC,462.6,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10465: SELMA,,,,
216,OR-KF600 Hogback Mtn.,462.6,+,5,TSQL,127.3,127.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/6543: Klamath Falls,,,,
217,OR-Keizer 575,462.575,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8198: Keizer,,,,
218,OR-Klamath550,462.55,+,5,TSQL,67,67,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/566: Klamath Falls,,,,
219,OR-LCARES,462.625,+,5,TSQL,123,123,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/2051: Linn County,,,,
220,OR-La Pine,462.7,+,5,Tone,123,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/11011: La Pine,,,,
221,OR-Lyons 700,462.7,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/2701: Lyons,,,,
222,OR-M1,462.625,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/838: Hermiston,,,,
223,OR-M1A1 crewman,462.675,+,5,TSQL,123,123,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8521: SAINT HELENS,,,,
224,OR-MLCN-8R,462.725,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/9258: CHRISTMAS VALLEY,,,,
225,OR-Molalla650,462.65,+,5,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/2029: Molalla,,,,
226,OR-NV725 - OREGON GMRS,462.725,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/1362: Grants Pass - Josephine County,,,,
227,OR-Newberg 575,462.575,+,5,TSQL,225.7,225.7,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10282: Newberg,,,,
228,OR-Oregon City 575,462.575,+,5,TSQL,110.9,110.9,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/3525: Oregon City,,,,
229,OR-Overlook 625,462.625,+,5,TSQL,156.7,156.7,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/3935: Portland,,,,
230,OR-PHOENIX 700 - OREGON GMRS,462.7,+,5,DTCS,88.5,88.5,743,NN,743,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/7357: Phoenix - Jackson County,,,,
231,OR-Pioneer 675,462.675,+,5,TSQL,218.1,218.1,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/4565: Oregon City,,,,
232,OR-Portland 1,462.7,+,5,TSQL,110.9,110.9,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/2962: Portland,,,,
233,OR-Powell 675,462.675,+,5,TSQL,162.2,162.2,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/11073: POWELL BUTTE,,,,
234,OR-Powell 675,462.675,+,5,TSQL,162.2,162.2,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8727: Powell Butte,,,,
235,OR-RB575,462.575,+,5,DTCS,88.5,88.5,606,NN,606,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8069: Roseburg,,,,
236,OR-RBEMCOM,462.55,+,5,TSQL,151.4,151.4,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/3545: Rockaway Beach,,,,
237,OR-Rogue 625,462.625,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/7341: Rogue River,,,,
238,OR-Rogue Link 700,462.7,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/7340: Rogue River,,,,
239,OR-SRCRT-1,462.55,+,5,Tone,107.2,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/6403: Sprague River,,,,
240,OR-SW550,462.55,+,5,TSQL,127.3,127.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/6240: Sutherlin,,,,
241,OR-Salem 675,462.675,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5369: Salem,,,,
