Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
118,WA-P-Sumas 675,462.675,+,5,TSQL,114.8,114.8,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/9458: Everson,,,,
119,WA-P-Tampico G3,462.6,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/6753: Yakima,,,,
120,WA-P-Trilogy 575 Repeater,462.575,+,5,Cross,123,88.5,23,NN,274,Tone->DTCS,FM,5,,5.0W,https://mygmrs.com/repeater/9993: Redmond,,,,
121,WA-P-Trilogy 600 Redmond,462.6,+,5,TSQL,123,123,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/6977: Redmond,,,,
122,WA-P-Woodland 600,462.6,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/6570: Woodland,,,,
123,WA-P-Yakima G7,462.7,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/3895: YAKIMA,,,,
124,ID-20-8 Communicate,462.675,+,5,TSQL,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/6442: Soda Springs,,,,
125,ID-Adhoc-575,462.575,+,5,Tone,100,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/8638: kuna,,,,
126,ID-Ammon North 625,462.625,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8434: Ammon,,,,
127,ID-BC-GMRS,462.55,+,5,TSQL,146.2,146.2,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/6360: Pocatello,,,,
128,ID-BYU-I GMRS .725,462.725,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/4628: Rexburg,,,,
129,ID-CRB700,462.7,+,5,TSQL,123,123,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10717: Mountain Home,,,,
130,ID-CalCan 600,462.6,+,5,TSQL,67,67,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/3832: Caldwell,,,,
131,ID-Caribou 625,462.625,+,5,TSQL,97.4,97.4,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5302: Soda Springs,,,,
132,ID-Digs,462.65,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/9934: Homedale,,,,
133,ID-EXBacon,462.575,+,5,TSQL,69.3,69.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8333: Tendoy,,,,
134,ID-Frawley\'s,462.625,+,5,TSQL,103.5,103.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/2628: SAINT MARIES,,,,
135,ID-GATES550,462.55,+,5,TSQL,74.4,74.4,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10243: Post Falls,,,,
136,ID-GEM 700,462.7,+,5,TSQL,250.3,250.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/4025: Emmett,,,,
137,ID-GV650,462.65,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/10113: Garden Valley,,,,
138,ID-GWHIZ70/650,462.675,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/6254: KENDRICK,,,,
139,ID-Grangeville ERC 675,462.675,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/4258: Grangeville,,,,
140,ID-Hayden ERC,462.725,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/3155: Hayden,,,,
141,ID-Hayden Meteo 625,462.625,+,5,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/7951: Hayden,,,,
142,ID-ID-GDC 462.5750,462.575,+,5,DTCS,88.5,88.5,454,NN,454,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8579: Garden City,,,,
143,ID-ID-MDN 462.600,462.675,+,5,DTCS,88.5,88.5,311,NN,311,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8867: Meridian,,,,
144,ID-IPHAMS-GMRS,462.65,+,5,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10102: Island Park,,,,
145,ID-Jake,462.625,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10977: Homedale,,,,
146,ID-Long Mountain 625,462.625,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/9644: Cocolalla,,,,
147,ID-Medics 575,462.575,+,5,TSQL,192.8,192.8,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/9095: Cocolalla,,,,
148,ID-MoHo675,462.675,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/6227: Mountain Home,,,,
149,ID-Orofino Ahsahka 600,462.6,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/3566: Orofino,,,,
150,ID-Orofino Clearwater 650,462.65,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5170: Orofino,,,,
151,ID-PR 650,462.65,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8076: Priest River,,,,
152,ID-Peck Party Line 625,462.625,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10231: Peck,,,,
153,ID-Post Falls 600,462.6,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/4967: Post Falls,,,,
154,ID-Rockhamptons II,462.7,+,5,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/11001: Boise,,,,
155,ID-Rust Repeater,462.575,+,5,TSQL,173.8,173.8,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10697: Buhl,,,,
156,ID-Seek2,462.6,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/9653: Nampa,,,,
157,ID-Soldier Creek 600,462.6,+,5,TSQL,77,77,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5095: Coolin,,,,
158,ID-TV675,462.675,+,5,DTCS,88.5,88.5,205,NN,205,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/9872: Meridian,,,,
159,ID-Taylor675,462.675,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/4395: Taylorville,,,,
160,ID-Upper Valley,462.6,+,5,DTCS,88.5,88.5,246,NN,246,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/9950: Parma,,,,
161,ID-VWREACT Boise 625,462.625,+,5,DTCS,88.5,88.5,73,NN,73,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/6392: Boise,,,,
162,ID-WQGV202,462.6,+,5,TSQL,123,123,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5715: Rexburg,,,,
163,ID-WRFW386 Sedgwick,462.575,+,5,TSQL,103.5,103.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10763: Grace,,,,
164,ID-WROR578,462.55,+,5,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10698: Twin Falls,,,,
165,ID-WRWL557,462.725,+,5,TSQL,103.5,103.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/7152: Star,,,,
166,ID-WSBV341,462.6,+,5,TSQL,167.9,167.9,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/9061: Jerome,,,,
167,ID-WSIC961 Groveland,462.65,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10829: Blackfoot,,,,
168,ID-moho550,462.55,+,5,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/9083: mountain,,,,
169,ID-P-BC-CSG 600 HOODOO MT,462.55,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/4595: Blanchard,,,,
170,ID-P-Boise 650,462.65,+,5,TSQL,114.8,114.8,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/7194: Boise,,,,
171,ID-P-Hauser Lake ECS,462.65,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/4417: Hauser,,,,
172,ID-P-Hidden Springs,462.6,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/10560: Hidden Springs,,,,
173,ID-P-Mica 725,462.725,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/5014: Post Falls,,,,
174,ID-P-North Summit,462.675,+,5,TSQL,192.8,192.8,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10350: Sandpoint,,,,
175,ID-P-RG 208,462.725,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/10642: Emmett,,,,
176,ID-P-Rathdrum Prairie,462.65,+,5,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/7962: Rathdrum,,,,
177,ID-P-ReFam OT RP,462.6,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/6373: Oldtown,,,,
178,ID-P-Seek1,462.55,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/9652: Meridian,,,,
179,ID-P-VAL725,462.725,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/10044: Lake Fork,,,,
180,ID-P-WQWJ849-600,462.6,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/2055: Kuna,,,,
181,ID-P-WRFW386 Preston,462.6,+,5,TSQL,103.5,103.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/3875: Preston,,,,
182,ID-P-five mile,462.725,+,5,TSQL,114.8,114.8,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/6900: boise,,,,
183,OR-ARRG PDX,462.55,+,5,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/2515: Portland,,,,
184,OR-Albany 625,462.625,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5269: Albany,,,,
185,OR-Baldy 575,462.575,+,5,TSQL,179.9,179.9,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5463: Grants Pass,,,,
186,OR-Bcev,462.625,+,5,TSQL,77,77,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/9077: Bay City,,,,
